"ID","Title","Report DOI URL"
"8","Measuring Landmark Salience in Rural Areas: A Comparative Study of Two Models","https://doi.org/10.53962/wxh7-8yjd"
"12","Mobility Vitality: Measuring urban vitality through active and micro-mobility modes","https://doi.org/10.17605/OSF.IO/gv2z4"
"15","3D Land Use Planning: Making Future Cities Measurable with Ontology-Driven Representations of Planning Regulations","https://doi.org/10.17605/OSF.IO/FXKWS"
"17","An Efficient System for Automatic Map Storytelling–A Case Study on Historical Maps","https://doi.org/10.17605/OSF.IO/GT5BW"
"18","Mining Meaningful Facets in Spatiotemporal Information Retrieval with Spatial Relevance Feedback","https://doi.org/10.17605/OSF.IO/956a8"
"20","Exploring Urban Place Function through User-Generated Textual Content","https://doi.org/10.17605/OSF.IO/BGY83"
"23","Beyond Walking and Biking: Expanding the 15-Minute City Area through Public Transport","https://doi.org/10.17605/OSF.IO/st98a"
"24","Accessibility for pedestrians under heat stress - the example of Heidelberg, Germany","https://doi.org/10.17605/OSF.IO/chx28"
"27","Centrality and Resilience in the Face of Flooding: A Case Study of Rio Grande do Sul","https://doi.org/10.17605/OSF.IO/28jt4"
"28","How close is ""close""? An analysis of the spatial characteristics of perceived proximity in AirBnB property descriptions using Large Language Models","https://doi.org/10.53962/yckj-53e8"
